architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2020,held_out_hours,V850,0.22227664523255747,0.2027358360850555,0.019540809147501975,8.791211117595084,0.019436479555915893,0.019540083692838855,0.019649150575296443,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,V700,0.26801791020722493,0.2446425598104611,0.023375350396763833,8.721562815966509,0.023231996124379452,0.023375565000785775,0.023519456729433473,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Q1000,0.030010373659725465,0.02783416147527941,0.002176212184446056,7.251533116918758,0.0021528308845417113,0.0021762166660344116,0.002200588557180757,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Q925,0.04775197779349941,0.045327176641389036,0.002424801152110377,5.077907270346551,0.0023957056314051445,0.0024249564099221993,0.0024537122074338824,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Q850,0.06306062244231712,0.059889844053602,0.0031707783887151217,5.028143183355825,0.003144629426230971,0.003170974844268707,0.003196482154613027,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Q700,0.08409830809009627,0.08175903155318062,0.002339276536915652,2.7815976207387387,0.002307513095438167,0.002339649019731528,0.0023708103265929776,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Z1000,0.027698347021771673,0.02264810961772335,0.005050237404048322,18.232992026848006,0.005004958374706283,0.005050527069031726,0.0050976607683252215,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Z925,0.021933115284659212,0.017829183291493505,0.0041039319931657076,18.711122154344125,0.004065299430153234,0.004104302013065327,0.004144320614167192,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Z850,0.017045310607694215,0.013850303348010923,0.003195007259683292,18.74420087270849,0.0031645624400211425,0.003195185219037021,0.003226411377966513,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,Z700,0.011065951324366342,0.008980329362712465,0.0020856219616538774,18.847199852230546,0.0020661384709739538,0.0020857429276957594,0.0021061258227703782,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,t2m,0.027887405060017655,0.023401199184240204,0.004486205875777451,16.08685306546987,0.004415604020303073,0.0044870009622997205,0.004554601444579463,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,u10,0.08421413180176134,0.0775647407425405,0.006649391059220841,7.895813822403818,0.0066151460916123945,0.006649526582174103,0.006683766588711625,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,v10,0.14418566666382418,0.13133597327982327,0.01284969338400091,8.91190759894365,0.012774993877883058,0.012850303153727649,0.012926615699493266,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out_hours,mslp,0.028010429818415353,0.023108945231067084,0.004901484587348268,17.498783914146884,0.004857141449347643,0.004901824293520811,0.0049483024680440895,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained_hours,T1000,0.014129522752456119,0.014113332277230198,1.6190475225920375e-05,0.11458614356317169,1.2354700824570218e-05,1.624481107340668e-05,1.996984783622386e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
