model,channel,tau_hours,rmse_norm
WeatherDCAE,Q925,1,0.032070
WeatherDCAE,Q850,1,0.038495
WeatherDCAE,Q700,1,0.046285
WeatherDCAE,Z1000,1,0.016300
WeatherDCAE,Z925,1,0.013179
WeatherDCAE,Z850,1,0.010444
WeatherDCAE,Z700,1,0.006991
WeatherDCAE,t2m,1,0.014163
WeatherDCAE,u10,1,0.044554
WeatherDCAE,v10,1,0.073326
WeatherDCAE,mslp,1,0.016427
WeatherDCAE,T1000,2,0.016928
WeatherDCAE,T925,2,0.018777
WeatherDCAE,T850,2,0.020277
WeatherDCAE,T700,2,0.018507
WeatherDCAE,U1000,2,0.069960
WeatherDCAE,U925,2,0.065840
WeatherDCAE,U850,2,0.065486
WeatherDCAE,U700,2,0.062278
WeatherDCAE,V1000,2,0.120613
WeatherDCAE,V925,2,0.143784
WeatherDCAE,V850,2,0.181204
WeatherDCAE,V700,2,0.215284
WeatherDCAE,Q1000,2,0.029608
WeatherDCAE,Q925,2,0.049557
WeatherDCAE,Q850,2,0.060577
WeatherDCAE,Q700,2,0.073558
WeatherDCAE,Z1000,2,0.022144
WeatherDCAE,Z925,2,0.017548
WeatherDCAE,Z850,2,0.013707
WeatherDCAE,Z700,2,0.009100
WeatherDCAE,t2m,2,0.028316
WeatherDCAE,u10,2,0.071200
WeatherDCAE,v10,2,0.122880
WeatherDCAE,mslp,2,0.022397
WeatherDCAE,T1000,3,0.018716
WeatherDCAE,T925,3,0.020655
WeatherDCAE,T850,3,0.022332
WeatherDCAE,T700,3,0.020368
WeatherDCAE,U1000,3,0.075413
WeatherDCAE,U925,3,0.071087
WeatherDCAE,U850,3,0.071698
WeatherDCAE,U700,3,0.068359
WeatherDCAE,V1000,3,0.127823
WeatherDCAE,V925,3,0.150350
WeatherDCAE,V850,3,0.193843
WeatherDCAE,V700,3,0.232514
WeatherDCAE,Q1000,3,0.033114
WeatherDCAE,Q925,3,0.054821
WeatherDCAE,Q850,3,0.067612
WeatherDCAE,Q700,3,0.082509
WeatherDCAE,Z1000,3,0.020797
WeatherDCAE,Z925,3,0.016276
WeatherDCAE,Z850,3,0.012665
WeatherDCAE,Z700,3,0.008544
WeatherDCAE,t2m,3,0.022826
WeatherDCAE,u10,3,0.076669
WeatherDCAE,v10,3,0.130089
WeatherDCAE,mslp,3,0.021341
WeatherDCAE,T1000,4,0.018734
WeatherDCAE,T925,4,0.020370
WeatherDCAE,T850,4,0.022142
WeatherDCAE,T700,4,0.019488
WeatherDCAE,U1000,4,0.081102
WeatherDCAE,U925,4,0.077521
WeatherDCAE,U850,4,0.075725
WeatherDCAE,U700,4,0.070610
WeatherDCAE,V1000,4,0.139984
WeatherDCAE,V925,4,0.168268
WeatherDCAE,V850,4,0.213618
WeatherDCAE,V700,4,0.250918
WeatherDCAE,Q1000,4,0.032873
WeatherDCAE,Q925,4,0.053609
WeatherDCAE,Q850,4,0.065957
WeatherDCAE,Q700,4,0.081778
WeatherDCAE,Z1000,4,0.026369
WeatherDCAE,Z925,4,0.020972
WeatherDCAE,Z850,4,0.016354
WeatherDCAE,Z700,4,0.010712
WeatherDCAE,t2m,4,0.029283
WeatherDCAE,u10,4,0.081707
WeatherDCAE,v10,4,0.141258
WeatherDCAE,mslp,4,0.026594
WeatherDCAE,T1000,5,0.011165
WeatherDCAE,T925,5,0.012484
WeatherDCAE,T850,5,0.013644
WeatherDCAE,T700,5,0.012525
WeatherDCAE,U1000,5,0.045599
WeatherDCAE,U925,5,0.043257
WeatherDCAE,U850,5,0.043521
WeatherDCAE,U700,5,0.040557
WeatherDCAE,V1000,5,0.075093
WeatherDCAE,V925,5,0.088999
WeatherDCAE,V850,5,0.112698
WeatherDCAE,V700,5,0.130996
WeatherDCAE,Q1000,5,0.019270
WeatherDCAE,Q925,5,0.032841
WeatherDCAE,Q850,5,0.040389
WeatherDCAE,Q700,5,0.048238
WeatherDCAE,Z1000,5,0.017759
WeatherDCAE,Z925,5,0.014396
