model,channel,tau_hours,acc
ATM-VFI,Z1000,5,0.999483
ATM-VFI,Z925,5,0.999484
ATM-VFI,Z850,5,0.999497
ATM-VFI,Z700,5,0.999593
ATM-VFI,t2m,5,0.995743
ATM-VFI,u10,5,0.997317
ATM-VFI,v10,5,0.997881
ATM-VFI,mslp,5,0.999505
WeatherDCAE,T1000,1,0.997923
WeatherDCAE,T925,1,0.998223
WeatherDCAE,T850,1,0.998374
WeatherDCAE,T700,1,0.998563
WeatherDCAE,U1000,1,0.998540
WeatherDCAE,U925,1,0.998685
WeatherDCAE,U850,1,0.998616
WeatherDCAE,U700,1,0.998718
WeatherDCAE,V1000,1,0.998884
WeatherDCAE,V925,1,0.998980
WeatherDCAE,V850,1,0.998898
WeatherDCAE,V700,1,0.999020
WeatherDCAE,Q1000,1,0.996003
WeatherDCAE,Q925,1,0.992020
WeatherDCAE,Q850,1,0.995343
WeatherDCAE,Q700,1,0.996746
WeatherDCAE,Z1000,1,0.999687
WeatherDCAE,Z925,1,0.999686
WeatherDCAE,Z850,1,0.999692
WeatherDCAE,Z700,1,0.999741
WeatherDCAE,t2m,1,0.994740
WeatherDCAE,u10,1,0.998470
WeatherDCAE,v10,1,0.998759
WeatherDCAE,mslp,1,0.999704
WeatherDCAE,T1000,2,0.995068
WeatherDCAE,T925,2,0.995762
WeatherDCAE,T850,2,0.996109
WeatherDCAE,T700,2,0.996694
WeatherDCAE,U1000,2,0.996327
WeatherDCAE,U925,2,0.996664
WeatherDCAE,U850,2,0.996502
WeatherDCAE,U700,2,0.996716
WeatherDCAE,V1000,2,0.996907
WeatherDCAE,V925,2,0.997082
WeatherDCAE,V850,2,0.996841
WeatherDCAE,V700,2,0.997083
WeatherDCAE,Q1000,2,0.990452
WeatherDCAE,Q925,2,0.981051
WeatherDCAE,Q850,2,0.988560
WeatherDCAE,Q700,2,0.991836
WeatherDCAE,Z1000,2,0.999397
WeatherDCAE,Z925,2,0.999417
WeatherDCAE,Z850,2,0.999446
WeatherDCAE,Z700,2,0.999540
WeatherDCAE,t2m,2,0.982049
WeatherDCAE,u10,2,0.996170
WeatherDCAE,v10,2,0.996619
WeatherDCAE,mslp,2,0.999423
WeatherDCAE,T1000,3,0.994293
WeatherDCAE,T925,3,0.994998
WeatherDCAE,T850,3,0.995297
WeatherDCAE,T700,3,0.995998
WeatherDCAE,U1000,3,0.995714
WeatherDCAE,U925,3,0.996127
WeatherDCAE,U850,3,0.995810
WeatherDCAE,U700,3,0.996039
WeatherDCAE,V1000,3,0.996467
WeatherDCAE,V925,3,0.996766
WeatherDCAE,V850,3,0.996346
WeatherDCAE,V700,3,0.996587
WeatherDCAE,Q1000,3,0.988183
WeatherDCAE,Q925,3,0.976982
WeatherDCAE,Q850,3,0.985738
WeatherDCAE,Q700,3,0.989643
WeatherDCAE,Z1000,3,0.999503
WeatherDCAE,Z925,3,0.999535
WeatherDCAE,Z850,3,0.999561
WeatherDCAE,Z700,3,0.999623
WeatherDCAE,t2m,3,0.989220
WeatherDCAE,u10,3,0.995535
WeatherDCAE,v10,3,0.996139
WeatherDCAE,mslp,3,0.999510
WeatherDCAE,T1000,4,0.994623
WeatherDCAE,T925,4,0.995292
WeatherDCAE,T850,4,0.995424
WeatherDCAE,T700,4,0.996360
WeatherDCAE,U1000,4,0.995044
WeatherDCAE,U925,4,0.995407
WeatherDCAE,U850,4,0.995336
WeatherDCAE,U700,4,0.995858
WeatherDCAE,V1000,4,0.995724
WeatherDCAE,V925,4,0.995902
WeatherDCAE,V850,4,0.995608
WeatherDCAE,V700,4,0.996151
WeatherDCAE,Q1000,4,0.988635
WeatherDCAE,Q925,4,0.978046
WeatherDCAE,Q850,4,0.986363
WeatherDCAE,Q700,4,0.989987
WeatherDCAE,Z1000,4,0.999153
WeatherDCAE,Z925,4,0.999170
WeatherDCAE,Z850,4,0.999211
WeatherDCAE,Z700,4,0.999360
WeatherDCAE,t2m,4,0.984776
WeatherDCAE,u10,4,0.994924
WeatherDCAE,v10,4,0.995418
WeatherDCAE,mslp,4,0.999193
WeatherDCAE,T1000,5,0.998192
WeatherDCAE,T925,5,0.998273
WeatherDCAE,T850,5,0.998271
WeatherDCAE,T700,5,0.998491
WeatherDCAE,U1000,5,0.998432
WeatherDCAE,U925,5,0.998562
WeatherDCAE,U850,5,0.998467
WeatherDCAE,U700,5,0.998626
WeatherDCAE,V1000,5,0.998778
WeatherDCAE,V925,5,0.998871
WeatherDCAE,V850,5,0.998775
WeatherDCAE,V700,5,0.998942
WeatherDCAE,Q1000,5,0.996085
WeatherDCAE,Q925,5,0.991865
WeatherDCAE,Q850,5,0.994911
WeatherDCAE,Q700,5,0.996477
WeatherDCAE,Z1000,5,0.999640
WeatherDCAE,Z925,5,0.999636
WeatherDCAE,Z850,5,0.999641
